dist_year,DISTRICT_NAME_left,SCHOOL_NAME,YEAR,GRAD_RATE,DISTRICT_NAME_right,STNAME,Year,Population
ASBURY2014,ASBURY,Asbury Park High School,2014,49.26,ASBURY,New Jersey,2014,15892.0
ASBURY2014,ASBURY,Asbury Park High School,2014,49.26,ASBURY,New Jersey,2014,15892.0
ASBURY2014,ASBURY,Asbury Park High School,2014,49.26,ASBURY,New Jersey,2014,15892.0
ASBURY2014,ASBURY,Asbury Park High School,2014,49.26,ASBURY,New Jersey,2014,15892.0
ASBURY2015,ASBURY,Asbury Park High School,2015,66.04,ASBURY,New Jersey,2015,15789.0
ASBURY2015,ASBURY,Asbury Park High School,2015,66.04,ASBURY,New Jersey,2015,15789.0
ASBURY2015,ASBURY,Asbury Park High School,2015,66.04,ASBURY,New Jersey,2015,15789.0
ASBURY2015,ASBURY,Asbury Park High School,2015,66.04,ASBURY,New Jersey,2015,15789.0
ASBURY2016,ASBURY,Asbury Park High School,2016,73.12,ASBURY,New Jersey,2016,15765.0
ASBURY2016,ASBURY,Asbury Park High School,2016,73.12,ASBURY,New Jersey,2016,15765.0
ASBURY2016,ASBURY,Asbury Park High School,2016,73.12,ASBURY,New Jersey,2016,15765.0
ASBURY2016,ASBURY,Asbury Park High School,2016,73.12,ASBURY,New Jersey,2016,15765.0
ASBURY2017,ASBURY,Asbury Park High School,2017,71.05,ASBURY,New Jersey,2017,15767.0
ASBURY2017,ASBURY,Asbury Park High School,2017,71.05,ASBURY,New Jersey,2017,15767.0
ASBURY2017,ASBURY,Asbury Park High School,2017,71.05,ASBURY,New Jersey,2017,15767.0
ASBURY2017,ASBURY,Asbury Park High School,2017,71.05,ASBURY,New Jersey,2017,15767.0
ATLANTIC2014,ATLANTIC,Atlantic City High School,2014,70.32,ATLANTIC,New Jersey,2014,39496.0
ATLANTIC2014,ATLANTIC,Atlantic City High School,2014,70.32,ATLANTIC,New Jersey,2014,4330.0
ATLANTIC2014,ATLANTIC,Atlantic City High School,2014,70.32,ATLANTIC,New Jersey,2014,274842.0
ATLANTIC2014,ATLANTIC,Atlantic City High School,2014,70.32,ATLANTIC,New Jersey,2014,39496.0
ATLANTIC2014,ATLANTIC,Atlantic City High School,2014,70.32,ATLANTIC,New Jersey,2014,39496.0
ATLANTIC2014,ATLANTIC,Atlantic City High School,2014,70.32,ATLANTIC,New Jersey,2014,39496.0
ATLANTIC2014,ATLANTIC,Atlantic City High School,2014,70.32,ATLANTIC,New Jersey,2014,4330.0
ATLANTIC2014,ATLANTIC,Atlantic City High School,2014,70.32,ATLANTIC,New Jersey,2014,4330.0
ATLANTIC2014,ATLANTIC,Atlantic City High School,2014,70.32,ATLANTIC,New Jersey,2014,4330.0
ATLANTIC2014,ATLANTIC,Atlantic County Institute of Technology,2014,97.48,ATLANTIC,New Jersey,2014,39496.0
ATLANTIC2014,ATLANTIC,Atlantic County Institute of Technology,2014,97.48,ATLANTIC,New Jersey,2014,4330.0
ATLANTIC2014,ATLANTIC,Atlantic County Institute of Technology,2014,97.48,ATLANTIC,New Jersey,2014,274842.0
ATLANTIC2014,ATLANTIC,Atlantic County Institute of Technology,2014,97.48,ATLANTIC,New Jersey,2014,39496.0
ATLANTIC2014,ATLANTIC,Atlantic County Institute of Technology,2014,97.48,ATLANTIC,New Jersey,2014,39496.0
ATLANTIC2014,ATLANTIC,Atlantic County Institute of Technology,2014,97.48,ATLANTIC,New Jersey,2014,39496.0
ATLANTIC2014,ATLANTIC,Atlantic County Institute of Technology,2014,97.48,ATLANTIC,New Jersey,2014,4330.0
ATLANTIC2014,ATLANTIC,Atlantic County Institute of Technology,2014,97.48,ATLANTIC,New Jersey,2014,4330.0
ATLANTIC2014,ATLANTIC,Atlantic County Institute of Technology,2014,97.48,ATLANTIC,New Jersey,2014,4330.0
ATLANTIC2015,ATLANTIC,Atlantic City High School,2015,73.71,ATLANTIC,New Jersey,2015,39099.0
ATLANTIC2015,ATLANTIC,Atlantic City High School,2015,73.71,ATLANTIC,New Jersey,2015,4301.0
ATLANTIC2015,ATLANTIC,Atlantic City High School,2015,73.71,ATLANTIC,New Jersey,2015,273088.0
ATLANTIC2015,ATLANTIC,Atlantic City High School,2015,73.71,ATLANTIC,New Jersey,2015,39099.0
ATLANTIC2015,ATLANTIC,Atlantic City High School,2015,73.71,ATLANTIC,New Jersey,2015,39099.0
ATLANTIC2015,ATLANTIC,Atlantic City High School,2015,73.71,ATLANTIC,New Jersey,2015,39099.0
ATLANTIC2015,ATLANTIC,Atlantic City High School,2015,73.71,ATLANTIC,New Jersey,2015,4301.0
ATLANTIC2015,ATLANTIC,Atlantic City High School,2015,73.71,ATLANTIC,New Jersey,2015,4301.0
ATLANTIC2015,ATLANTIC,Atlantic City High School,2015,73.71,ATLANTIC,New Jersey,2015,4301.0
ATLANTIC2015,ATLANTIC,Atlantic County Institute of Technology,2015,98.08,ATLANTIC,New Jersey,2015,39099.0
ATLANTIC2015,ATLANTIC,Atlantic County Institute of Technology,2015,98.08,ATLANTIC,New Jersey,2015,4301.0
ATLANTIC2015,ATLANTIC,Atlantic County Institute of Technology,2015,98.08,ATLANTIC,New Jersey,2015,273088.0
ATLANTIC2015,ATLANTIC,Atlantic County Institute of Technology,2015,98.08,ATLANTIC,New Jersey,2015,39099.0
ATLANTIC2015,ATLANTIC,Atlantic County Institute of Technology,2015,98.08,ATLANTIC,New Jersey,2015,39099.0
ATLANTIC2015,ATLANTIC,Atlantic County Institute of Technology,2015,98.08,ATLANTIC,New Jersey,2015,39099.0
ATLANTIC2015,ATLANTIC,Atlantic County Institute of Technology,2015,98.08,ATLANTIC,New Jersey,2015,4301.0
ATLANTIC2015,ATLANTIC,Atlantic County Institute of Technology,2015,98.08,ATLANTIC,New Jersey,2015,4301.0
ATLANTIC2015,ATLANTIC,Atlantic County Institute of Technology,2015,98.08,ATLANTIC,New Jersey,2015,4301.0
ATLANTIC2016,ATLANTIC,Atlantic City High School,2016,76.14,ATLANTIC,New Jersey,2016,38724.0
ATLANTIC2016,ATLANTIC,Atlantic City High School,2016,76.14,ATLANTIC,New Jersey,2016,4304.0
ATLANTIC2016,ATLANTIC,Atlantic City High School,2016,76.14,ATLANTIC,New Jersey,2016,270830.0
ATLANTIC2016,ATLANTIC,Atlantic City High School,2016,76.14,ATLANTIC,New Jersey,2016,38724.0
ATLANTIC2016,ATLANTIC,Atlantic City High School,2016,76.14,ATLANTIC,New Jersey,2016,38724.0
ATLANTIC2016,ATLANTIC,Atlantic City High School,2016,76.14,ATLANTIC,New Jersey,2016,38724.0
ATLANTIC2016,ATLANTIC,Atlantic City High School,2016,76.14,ATLANTIC,New Jersey,2016,4304.0
ATLANTIC2016,ATLANTIC,Atlantic City High School,2016,76.14,ATLANTIC,New Jersey,2016,4304.0
ATLANTIC2016,ATLANTIC,Atlantic City High School,2016,76.14,ATLANTIC,New Jersey,2016,4304.0
ATLANTIC2016,ATLANTIC,Atlantic County Institute of Technology,2016,99.04,ATLANTIC,New Jersey,2016,38724.0
ATLANTIC2016,ATLANTIC,Atlantic County Institute of Technology,2016,99.04,ATLANTIC,New Jersey,2016,4304.0
ATLANTIC2016,ATLANTIC,Atlantic County Institute of Technology,2016,99.04,ATLANTIC,New Jersey,2016,270830.0
ATLANTIC2016,ATLANTIC,Atlantic County Institute of Technology,2016,99.04,ATLANTIC,New Jersey,2016,38724.0
ATLANTIC2016,ATLANTIC,Atlantic County Institute of Technology,2016,99.04,ATLANTIC,New Jersey,2016,38724.0
ATLANTIC2016,ATLANTIC,Atlantic County Institute of Technology,2016,99.04,ATLANTIC,New Jersey,2016,38724.0
ATLANTIC2016,ATLANTIC,Atlantic County Institute of Technology,2016,99.04,ATLANTIC,New Jersey,2016,4304.0
ATLANTIC2016,ATLANTIC,Atlantic County Institute of Technology,2016,99.04,ATLANTIC,New Jersey,2016,4304.0
ATLANTIC2016,ATLANTIC,Atlantic County Institute of Technology,2016,99.04,ATLANTIC,New Jersey,2016,4304.0
ATLANTIC2017,ATLANTIC,Atlantic City High School,2017,80.54,ATLANTIC,New Jersey,2017,38429.0
ATLANTIC2017,ATLANTIC,Atlantic City High School,2017,80.54,ATLANTIC,New Jersey,2017,4311.0
ATLANTIC2017,ATLANTIC,Atlantic City High School,2017,80.54,ATLANTIC,New Jersey,2017,269918.0
ATLANTIC2017,ATLANTIC,Atlantic City High School,2017,80.54,ATLANTIC,New Jersey,2017,38429.0
ATLANTIC2017,ATLANTIC,Atlantic City High School,2017,80.54,ATLANTIC,New Jersey,2017,38429.0
ATLANTIC2017,ATLANTIC,Atlantic City High School,2017,80.54,ATLANTIC,New Jersey,2017,38429.0
ATLANTIC2017,ATLANTIC,Atlantic City High School,2017,80.54,ATLANTIC,New Jersey,2017,4311.0
ATLANTIC2017,ATLANTIC,Atlantic City High School,2017,80.54,ATLANTIC,New Jersey,2017,4311.0
ATLANTIC2017,ATLANTIC,Atlantic City High School,2017,80.54,ATLANTIC,New Jersey,2017,4311.0
ATLANTIC2017,ATLANTIC,Atlantic County Institute of Technology,2017,98.74,ATLANTIC,New Jersey,2017,38429.0
ATLANTIC2017,ATLANTIC,Atlantic County Institute of Technology,2017,98.74,ATLANTIC,New Jersey,2017,4311.0
ATLANTIC2017,ATLANTIC,Atlantic County Institute of Technology,2017,98.74,ATLANTIC,New Jersey,2017,269918.0
ATLANTIC2017,ATLANTIC,Atlantic County Institute of Technology,2017,98.74,ATLANTIC,New Jersey,2017,38429.0
ATLANTIC2017,ATLANTIC,Atlantic County Institute of Technology,2017,98.74,ATLANTIC,New Jersey,2017,38429.0
ATLANTIC2017,ATLANTIC,Atlantic County Institute of Technology,2017,98.74,ATLANTIC,New Jersey,2017,38429.0
ATLANTIC2017,ATLANTIC,Atlantic County Institute of Technology,2017,98.74,ATLANTIC,New Jersey,2017,4311.0
ATLANTIC2017,ATLANTIC,Atlantic County Institute of Technology,2017,98.74,ATLANTIC,New Jersey,2017,4311.0
ATLANTIC2017,ATLANTIC,Atlantic County Institute of Technology,2017,98.74,ATLANTIC,New Jersey,2017,4311.0
AUDUBON2014,AUDUBON,Audubon Junior/Senior High School,2014,92.31,AUDUBON,New Jersey,2014,8727.0
AUDUBON2014,AUDUBON,Audubon Junior/Senior High School,2014,92.31,AUDUBON,New Jersey,2014,1012.0
AUDUBON2014,AUDUBON,Audubon Junior/Senior High School,2014,92.31,AUDUBON,New Jersey,2014,8727.0
