COUNTY_ID,COUNTY_NAME,DISTRICT_ID,DISTRICT_NAME,SCHOOL_ID,SCHOOL_NAME,GRADE_LEVEL,GRADE_NAME,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,ROW_TOTAL
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City High School,09,Grade 9,0,0,5,2,4,2,0,0,0,0,0,0,0,0,13
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City High School,10,Grade 10,1,0,2,2,5,1,0,0,0,0,0,0,0,0,11
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City High School,11,Grade 11,1,0,10,2,3,3,1,0,0,0,0,0,0,0,20
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City High School,12,Grade 12,2,0,5,3,12,10,2,1,0,1,0,0,0,0,36
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City High School,UG,Ungraded,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City High School,55,TOTAL,4,0,23,9,25,16,3,1,0,1,0,0,0,0,82
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,PF,Full-day Pre-School,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,01,Grade 1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,02,Grade 2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,04,Grade 4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,05,Grade 5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,06,Grade 6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,08,Grade 8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,55,TOTAL,0,0,0,1,3,3,0,1,0,0,0,0,0,0,8
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights School,PF,Full-day Pre-School,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights School,55,TOTAL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,060,Texas Avenue School,01,Grade 1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,060,Texas Avenue School,03,Grade 3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,060,Texas Avenue School,05,Grade 5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,060,Texas Avenue School,55,TOTAL,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
01,ATLANTIC,0110,ATLANTIC CITY,070,New York Avenue School,PF,Full-day Pre-School,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,070,New York Avenue School,KF,Full-day Kindergarten,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
01,ATLANTIC,0110,ATLANTIC CITY,070,New York Avenue School,01,Grade 1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,070,New York Avenue School,03,Grade 3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,070,New York Avenue School,05,Grade 5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,070,New York Avenue School,55,TOTAL,0,0,1,2,1,2,0,0,0,0,0,0,0,0,6
01,ATLANTIC,0110,ATLANTIC CITY,080,Uptown School Complex,PF,Full-day Pre-School,0,0,1,2,0,0,0,1,0,0,0,0,0,0,4
01,ATLANTIC,0110,ATLANTIC CITY,080,Uptown School Complex,KF,Full-day Kindergarten,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,080,Uptown School Complex,03,Grade 3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,080,Uptown School Complex,55,TOTAL,0,0,1,3,1,0,0,1,0,0,0,0,0,0,6
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,PF,Full-day Pre-School,0,0,3,1,1,1,1,0,0,0,0,0,0,0,7
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,01,Grade 1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,02,Grade 2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,04,Grade 4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,55,TOTAL,0,0,5,1,2,3,1,0,0,0,0,0,0,0,12
01,ATLANTIC,0110,ATLANTIC CITY,120,Richmond Avenue School,PF,Full-day Pre-School,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,120,Richmond Avenue School,KF,Full-day Kindergarten,0,0,0,0,2,1,1,0,0,0,0,0,0,0,4
01,ATLANTIC,0110,ATLANTIC CITY,120,Richmond Avenue School,01,Grade 1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3
01,ATLANTIC,0110,ATLANTIC CITY,120,Richmond Avenue School,02,Grade 2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,120,Richmond Avenue School,03,Grade 3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
01,ATLANTIC,0110,ATLANTIC CITY,120,Richmond Avenue School,05,Grade 5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,120,Richmond Avenue School,55,TOTAL,1,0,2,0,2,3,3,1,0,0,0,0,0,0,12
01,ATLANTIC,0110,ATLANTIC CITY,130,Venice Park School,PF,Full-day Pre-School,0,0,1,0,1,2,0,0,0,0,0,0,1,0,5
01,ATLANTIC,0110,ATLANTIC CITY,130,Venice Park School,55,TOTAL,0,0,1,0,1,2,0,0,0,0,0,0,1,0,5
01,ATLANTIC,0110,ATLANTIC CITY,140,Dr Martin Luther King Jr School Complex,PF,Full-day Pre-School,0,1,2,2,1,3,0,0,0,0,0,0,0,0,9
01,ATLANTIC,0110,ATLANTIC CITY,140,Dr Martin Luther King Jr School Complex,05,Grade 5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,140,Dr Martin Luther King Jr School Complex,08,Grade 8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,140,Dr Martin Luther King Jr School Complex,UG,Ungraded,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,140,Dr Martin Luther King Jr School Complex,55,TOTAL,0,1,3,2,2,4,0,0,0,0,0,0,0,0,12
01,ATLANTIC,0110,ATLANTIC CITY,300,Brighton Avenue School,PF,Full-day Pre-School,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,300,Brighton Avenue School,55,TOTAL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,999,DISTRICT TOTAL,PF,Full-day Pre-School,0,1,8,5,3,8,3,1,0,0,0,0,1,0,30
01,ATLANTIC,0110,ATLANTIC CITY,999,DISTRICT TOTAL,KF,Full-day Kindergarten,0,0,1,0,4,1,1,0,0,0,0,0,0,0,7
01,ATLANTIC,0110,ATLANTIC CITY,999,DISTRICT TOTAL,01,Grade 1,1,0,2,1,1,3,0,0,0,0,0,0,0,0,8
01,ATLANTIC,0110,ATLANTIC CITY,999,DISTRICT TOTAL,02,Grade 2,0,0,2,0,1,0,1,1,0,0,0,0,0,0,5
01,ATLANTIC,0110,ATLANTIC CITY,999,DISTRICT TOTAL,03,Grade 3,0,0,0,2,0,1,1,1,0,0,0,0,0,0,5
01,ATLANTIC,0110,ATLANTIC CITY,999,DISTRICT TOTAL,04,Grade 4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
01,ATLANTIC,0110,ATLANTIC CITY,999,DISTRICT TOTAL,05,Grade 5,0,0,0,0,0,4,0,1,0,0,0,0,0,0,5
01,ATLANTIC,0110,ATLANTIC CITY,999,DISTRICT TOTAL,06,Grade 6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0110,ATLANTIC CITY,999,DISTRICT TOTAL,08,Grade 8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
01,ATLANTIC,0110,ATLANTIC CITY,999,DISTRICT TOTAL,09,Grade 9,0,0,5,2,4,2,0,0,0,0,0,0,0,0,13
01,ATLANTIC,0110,ATLANTIC CITY,999,DISTRICT TOTAL,10,Grade 10,1,0,2,2,5,1,0,0,0,0,0,0,0,0,11
01,ATLANTIC,0110,ATLANTIC CITY,999,DISTRICT TOTAL,11,Grade 11,1,0,10,2,3,3,1,0,0,0,0,0,0,0,20
01,ATLANTIC,0110,ATLANTIC CITY,999,DISTRICT TOTAL,12,Grade 12,2,0,5,3,12,10,2,1,0,1,0,0,0,0,36
01,ATLANTIC,0110,ATLANTIC CITY,999,DISTRICT TOTAL,UG,Ungraded,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3
01,ATLANTIC,0110,ATLANTIC CITY,999,DISTRICT TOTAL,55,TOTAL,5,1,37,18,37,34,9,5,0,1,0,0,1,0,148
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,010,Atlantic County Institute of Technology,09,Grade 9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,010,Atlantic County Institute of Technology,UG,Ungraded,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,010,Atlantic County Institute of Technology,55,TOTAL,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,999,DISTRICT TOTAL,09,Grade 9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,999,DISTRICT TOTAL,UG,Ungraded,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,999,DISTRICT TOTAL,55,TOTAL,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
01,ATLANTIC,0590,BUENA REGIONAL,025,BUENA REGIONAL HIGH SCHOOL,09,Grade 9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0590,BUENA REGIONAL,025,BUENA REGIONAL HIGH SCHOOL,11,Grade 11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
01,ATLANTIC,0590,BUENA REGIONAL,025,BUENA REGIONAL HIGH SCHOOL,12,Grade 12,3,0,0,0,2,1,0,0,0,0,0,0,0,0,6
01,ATLANTIC,0590,BUENA REGIONAL,025,BUENA REGIONAL HIGH SCHOOL,UG,Ungraded,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3
01,ATLANTIC,0590,BUENA REGIONAL,025,BUENA REGIONAL HIGH SCHOOL,55,TOTAL,4,0,1,1,3,3,0,0,0,0,0,0,0,0,12
01,ATLANTIC,0590,BUENA REGIONAL,999,DISTRICT TOTAL,09,Grade 9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
01,ATLANTIC,0590,BUENA REGIONAL,999,DISTRICT TOTAL,11,Grade 11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
01,ATLANTIC,0590,BUENA REGIONAL,999,DISTRICT TOTAL,12,Grade 12,3,0,0,0,2,1,0,0,0,0,0,0,0,0,6
01,ATLANTIC,0590,BUENA REGIONAL,999,DISTRICT TOTAL,UG,Ungraded,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3
01,ATLANTIC,0590,BUENA REGIONAL,999,DISTRICT TOTAL,55,TOTAL,4,0,1,1,3,3,0,0,0,0,0,0,0,0,12
01,ATLANTIC,1300,EGG HARBOR CITY,020,Charles L. Spragg School,PF,Full-day Pre-School,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,1300,EGG HARBOR CITY,020,Charles L. Spragg School,55,TOTAL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,1300,EGG HARBOR CITY,999,DISTRICT TOTAL,PF,Full-day Pre-School,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,1300,EGG HARBOR CITY,999,DISTRICT TOTAL,55,TOTAL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,1310,EGG HARBOR TWP,005,EGG HARBOR TOWNSHIP HIGH SCHOOL,09,Grade 9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,1310,EGG HARBOR TWP,005,EGG HARBOR TOWNSHIP HIGH SCHOOL,10,Grade 10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,1310,EGG HARBOR TWP,005,EGG HARBOR TOWNSHIP HIGH SCHOOL,11,Grade 11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
01,ATLANTIC,1310,EGG HARBOR TWP,005,EGG HARBOR TOWNSHIP HIGH SCHOOL,12,Grade 12,0,4,2,2,3,1,0,2,0,0,0,0,0,0,14
01,ATLANTIC,1310,EGG HARBOR TWP,005,EGG HARBOR TOWNSHIP HIGH SCHOOL,UG,Ungraded,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3
01,ATLANTIC,1310,EGG HARBOR TWP,005,EGG HARBOR TOWNSHIP HIGH SCHOOL,55,TOTAL,0,4,2,3,7,2,0,2,0,0,0,0,1,0,21
01,ATLANTIC,1310,EGG HARBOR TWP,035,E. H. SLAYBAUGH ELEMENTARY SCHOOL,PH,Half-day Pre-School,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
01,ATLANTIC,1310,EGG HARBOR TWP,035,E. H. SLAYBAUGH ELEMENTARY SCHOOL,55,TOTAL,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
01,ATLANTIC,1310,EGG HARBOR TWP,999,DISTRICT TOTAL,PH,Half-day Pre-School,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
01,ATLANTIC,1310,EGG HARBOR TWP,999,DISTRICT TOTAL,09,Grade 9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,1310,EGG HARBOR TWP,999,DISTRICT TOTAL,10,Grade 10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
01,ATLANTIC,1310,EGG HARBOR TWP,999,DISTRICT TOTAL,11,Grade 11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
01,ATLANTIC,1310,EGG HARBOR TWP,999,DISTRICT TOTAL,12,Grade 12,0,4,2,2,3,1,0,2,0,0,0,0,0,0,14
01,ATLANTIC,1310,EGG HARBOR TWP,999,DISTRICT TOTAL,UG,Ungraded,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3
01,ATLANTIC,1310,EGG HARBOR TWP,999,DISTRICT TOTAL,55,TOTAL,0,4,2,3,7,2,2,2,0,0,0,0,1,0,23
01,ATLANTIC,1790,GREATER EGG HARBOR REG,040,Absegami High School,09,Grade 9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
01,ATLANTIC,1790,GREATER EGG HARBOR REG,040,Absegami High School,10,Grade 10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3
01,ATLANTIC,1790,GREATER EGG HARBOR REG,040,Absegami High School,12,Grade 12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
01,ATLANTIC,1790,GREATER EGG HARBOR REG,040,Absegami High School,UG,Ungraded,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
01,ATLANTIC,1790,GREATER EGG HARBOR REG,040,Absegami High School,55,TOTAL,5,1,3,0,1,0,0,0,0,0,0,0,0,0,10
01,ATLANTIC,1790,GREATER EGG HARBOR REG,050,Oakcrest High School,09,Grade 9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
01,ATLANTIC,1790,GREATER EGG HARBOR REG,050,Oakcrest High School,10,Grade 10,1,0,1,0,1,1,0,0,0,0,0,0,0,0,4
