COUNTY_CODE,COUNTY_NAME,DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,SUBGROUP,2017 Adjusted Cohort Grad Rate,2016 Adjusted Cohort Grad Rate,2015 Adjusted Cohort Grad Rate,2014 Adjusted Cohort Grad Rate
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City High School,S,80.54,76.14,73.71,70.32
01,ATLANTIC,0110,ATLANTIC CITY,999,,D,80.54,76.14,73.71,70.32
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,010,Atlantic County Institute of Technology,S,98.74,99.04,98.08,97.48
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,999,,D,98.74,99.04,98.08,97.48
01,ATLANTIC,0590,BUENA REGIONAL,025,BUENA REGIONAL HIGH SCHOOL,S,86.98,91.71,90.56,87.98
01,ATLANTIC,0590,BUENA REGIONAL,999,,D,86.98,91.71,90.56,87.98
01,ATLANTIC,1310,EGG HARBOR TWP,005,EGG HARBOR TOWNSHIP HIGH SCHOOL,S,94.18,92.27,93.85,93.09
01,ATLANTIC,1310,EGG HARBOR TWP,999,,D,94.18,92.27,93.85,93.09
01,ATLANTIC,1790,GREATER EGG HARBOR REG,040,Absegami High School,S,91.83,91.75,90.25,92.86
01,ATLANTIC,1790,GREATER EGG HARBOR REG,050,Oakcrest High School,S,87.94,91.35,91.98,91.72
01,ATLANTIC,1790,GREATER EGG HARBOR REG,060,Cedar Creek High School,S,89.87,94.32,92.02,90.00
01,ATLANTIC,1790,GREATER EGG HARBOR REG,999,,D,90.11,92.27,91.20,91.84
01,ATLANTIC,1960,HAMMONTON TOWN,050,Hammonton High School,S,86.83,91.58,91.17,92.53
01,ATLANTIC,1960,HAMMONTON TOWN,999,,D,86.83,91.58,91.17,92.53
01,ATLANTIC,2910,MAINLAND REGIONAL,050,MAINLAND REGIONAL HIGH SCHOOL,S,95.88,93.66,95.93,92.56
01,ATLANTIC,2910,MAINLAND REGIONAL,999,,D,95.88,93.66,95.93,92.56
01,ATLANTIC,4180,PLEASANTVILLE CITY,050,PLEASANTVILLE HIGH SCHOOL,S,86.55,80.85,81.36,75.98
01,ATLANTIC,4180,PLEASANTVILLE CITY,999,,D,86.55,80.85,81.36,75.98
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,020,Bergen County Academies,S,99.22,99.60,99.46,100.00
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,070,Bergen County Technical High School - Teterboro,S,100.00,99.35,100.00,99.15
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,999,,D,99.52,99.50,99.69,99.66
03,BERGEN,0300,BERGENFIELD BORO,020,Bergenfield High School,S,97.32,96.49,97.64,96.85
03,BERGEN,0300,BERGENFIELD BORO,999,,D,97.32,96.49,97.64,96.85
03,BERGEN,0440,BOGOTA BORO,020,Bogota Jr./Sr. High School,S,92.71,92.71,88.00,94.74
03,BERGEN,0440,BOGOTA BORO,999,,D,92.71,92.71,88.00,94.74
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,050,HENRY P. BECTON REGIONAL HIGH SCHOOL,S,96.92,97.50,92.81,83.55
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,999,,D,96.92,97.50,92.81,83.55
03,BERGEN,0890,CLIFFSIDE PARK BORO,030,Cliffside Park High School,S,82.41,83.61,82.61,84.05
03,BERGEN,0890,CLIFFSIDE PARK BORO,999,,D,82.41,83.61,82.61,84.05
03,BERGEN,0990,CRESSKILL BORO,040,Cresskill High School,S,96.80,97.83,96.18,98.11
03,BERGEN,0990,CRESSKILL BORO,999,,D,96.80,97.83,96.18,98.11
03,BERGEN,1130,DUMONT BORO,040,Dumont High School,S,97.21,96.62,93.07,95.58
03,BERGEN,1130,DUMONT BORO,999,,D,97.21,96.62,93.07,95.58
03,BERGEN,1345,ELMWOOD PARK,050,Memorial Senior High School,S,91.71,90.10,89.37,84.21
03,BERGEN,1345,ELMWOOD PARK,999,,D,91.71,90.10,89.37,84.21
03,BERGEN,1360,EMERSON BORO,050,Emerson Jr Sr High,S,98.08,96.23,93.48,98.81
03,BERGEN,1360,EMERSON BORO,999,,D,98.08,96.23,93.48,98.81
03,BERGEN,1370,ENGLEWOOD CITY,040,Dwight Morrow High School/Academies@Englewood,S,87.29,86.53,82.03,84.08
03,BERGEN,1370,ENGLEWOOD CITY,999,,D,87.29,86.53,82.03,84.08
03,BERGEN,1450,FAIR LAWN BORO,050,FAIR LAWN HIGH SCHOOL,S,96.62,96.74,94.52,94.86
03,BERGEN,1450,FAIR LAWN BORO,999,,D,96.62,96.74,94.52,94.86
03,BERGEN,1550,FORT LEE BORO,050,Fort Lee High School,S,97.35,97.22,97.30,92.16
03,BERGEN,1550,FORT LEE BORO,999,,D,97.35,97.22,97.30,92.16
03,BERGEN,1700,GARFIELD CITY,050,GARFIELD HIGH SCHOOL,S,81.45,90.29,85.71,87.32
03,BERGEN,1700,GARFIELD CITY,999,,D,81.45,88.17,83.83,87.32
03,BERGEN,1760,GLEN ROCK BORO,050,GLEN ROCK HIGH SCHOOL,S,99.39,99.49,97.95,98.28
