SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME, CENSUS2010POP , ESTIMATESBASE2010 , POPESTIMATE2010 , POPESTIMATE2011 , POPESTIMATE2012 , POPESTIMATE2013 , POPESTIMATE2014 , POPESTIMATE2015 , POPESTIMATE2016 , POPESTIMATE2017 
40,34,0,0,0,0,0,A,New Jersey,New Jersey,"  8,791,894.00 ","  8,791,953.00 ","  8,803,708.00 ","  8,844,694.00 ","  8,882,095.00 ","  8,913,735.00 ","  8,943,010.00 ","  8,960,001.00 ","  8,978,416.00 ","  9,005,644.00 "
162,34,0,100,0,0,0,A,Absecon city,New Jersey,"  8,411.00 ","  8,502.00 ","  8,503.00 ","  8,506.00 ","  8,499.00 ","  8,489.00 ","  8,445.00 ","  8,372.00 ","  8,292.00 ","  8,283.00 "
162,34,0,700,0,0,0,A,Allendale borough,New Jersey,"  6,505.00 ","  6,505.00 ","  6,519.00 ","  6,601.00 ","  6,659.00 ","  6,738.00 ","  6,782.00 ","  6,820.00 ","  6,876.00 ","  6,906.00 "
162,34,0,730,0,0,0,A,Allenhurst borough,New Jersey,  496.00 ,  495.00 ,  495.00 ,  495.00 ,  495.00 ,  494.00 ,  493.00 ,  489.00 ,  488.00 ,  489.00 
162,34,0,760,0,0,0,A,Allentown borough,New Jersey,"  1,828.00 ","  1,824.00 ","  1,823.00 ","  1,831.00 ","  1,826.00 ","  1,824.00 ","  1,818.00 ","  1,818.00 ","  1,814.00 ","  1,811.00 "
162,34,0,1030,0,0,0,A,Alpha borough,New Jersey,"  2,369.00 ","  2,369.00 ","  2,364.00 ","  2,352.00 ","  2,333.00 ","  2,317.00 ","  2,317.00 ","  2,313.00 ","  2,302.00 ","  2,297.00 "
162,34,0,1090,0,0,0,A,Alpine borough,New Jersey,"  1,849.00 ","  1,817.00 ","  1,820.00 ","  1,834.00 ","  1,864.00 ","  1,874.00 ","  1,868.00 ","  1,873.00 ","  1,875.00 ","  1,890.00 "
162,34,0,1330,0,0,0,A,Andover borough,New Jersey,  606.00 ,  601.00 ,  601.00 ,  597.00 ,  592.00 ,  586.00 ,  581.00 ,  574.00 ,  570.00 ,  567.00 
162,34,0,1960,0,0,0,A,Asbury Park city,New Jersey,"  16,116.00 ","  16,114.00 ","  16,121.00 ","  16,019.00 ","  15,963.00 ","  15,954.00 ","  15,892.00 ","  15,789.00 ","  15,765.00 ","  15,767.00 "
162,34,0,2080,0,0,0,A,Atlantic City city,New Jersey,"  39,558.00 ","  39,558.00 ","  39,555.00 ","  39,559.00 ","  39,549.00 ","  39,696.00 ","  39,496.00 ","  39,099.00 ","  38,724.00 ","  38,429.00 "
162,34,0,2110,0,0,0,A,Atlantic Highlands borough,New Jersey,"  4,385.00 ","  4,379.00 ","  4,377.00 ","  4,368.00 ","  4,359.00 ","  4,351.00 ","  4,330.00 ","  4,301.00 ","  4,304.00 ","  4,311.00 "
162,34,0,2200,0,0,0,A,Audubon borough,New Jersey,"  8,819.00 ","  8,819.00 ","  8,814.00 ","  8,803.00 ","  8,785.00 ","  8,747.00 ","  8,727.00 ","  8,728.00 ","  8,738.00 ","  8,733.00 "
162,34,0,2230,0,0,0,A,Audubon Park borough,New Jersey,"  1,023.00 ","  1,023.00 ","  1,022.00 ","  1,021.00 ","  1,019.00 ","  1,015.00 ","  1,012.00 ","  1,011.00 ","  1,013.00 ","  1,012.00 "
162,34,0,2320,0,0,0,A,Avalon borough,New Jersey,"  1,334.00 ","  1,334.00 ","  1,335.00 ","  1,323.00 ","  1,319.00 ","  1,305.00 ","  1,291.00 ","  1,279.00 ","  1,272.00 ","  1,267.00 "
162,34,0,2440,0,0,0,A,Avon-by-the-Sea borough,New Jersey,"  1,901.00 ","  1,900.00 ","  1,899.00 ","  1,918.00 ","  1,919.00 ","  1,911.00 ","  1,798.00 ","  1,790.00 ","  1,796.00 ","  1,794.00 "
162,34,0,3130,0,0,0,A,Barnegat Light borough,New Jersey,  574.00 ,  586.00 ,  587.00 ,  583.00 ,  583.00 ,  581.00 ,  584.00 ,  588.00 ,  583.00 ,  587.00 
162,34,0,3250,0,0,0,A,Barrington borough,New Jersey,"  6,983.00 ","  6,967.00 ","  6,961.00 ","  6,919.00 ","  6,883.00 ","  6,835.00 ","  6,814.00 ","  6,803.00 ","  6,801.00 ","  6,781.00 "
162,34,0,3520,0,0,0,A,Bay Head borough,New Jersey,  968.00 ,  974.00 ,  974.00 ,  976.00 ,  972.00 ,  972.00 ,  977.00 ,  978.00 ,  979.00 ,  981.00 
162,34,0,3580,0,0,0,A,Bayonne city,New Jersey,"  63,024.00 ","  63,017.00 ","  63,125.00 ","  64,250.00 ","  64,911.00 ","  65,737.00 ","  66,727.00 ","  66,825.00 ","  67,076.00 ","  67,186.00 "
162,34,0,3940,0,0,0,A,Beach Haven borough,New Jersey,"  1,170.00 ","  1,170.00 ","  1,172.00 ","  1,171.00 ","  1,168.00 ","  1,166.00 ","  1,168.00 ","  1,170.00 ","  1,174.00 ","  1,182.00 "
162,34,0,4180,0,0,0,A,Beachwood borough,New Jersey,"  11,045.00 ","  11,042.00 ","  11,053.00 ","  11,062.00 ","  11,036.00 ","  11,106.00 ","  11,199.00 ","  11,211.00 ","  11,205.00 ","  11,248.00 "
162,34,0,4750,0,0,0,A,Bellmawr borough,New Jersey,"  11,583.00 ","  11,597.00 ","  11,598.00 ","  11,589.00 ","  11,567.00 ","  11,514.00 ","  11,481.00 ","  11,474.00 ","  11,492.00 ","  11,489.00 "
162,34,0,4930,0,0,0,A,Belmar borough,New Jersey,"  5,794.00 ","  5,786.00 ","  5,792.00 ","  5,771.00 ","  5,758.00 ","  5,738.00 ","  5,706.00 ","  5,694.00 ","  5,697.00 ","  5,682.00 "
162,34,0,4990,0,0,0,A,Belvidere town,New Jersey,"  2,681.00 ","  2,684.00 ","  2,678.00 ","  2,662.00 ","  2,644.00 ","  2,626.00 ","  2,626.00 ","  2,621.00 ","  2,608.00 ","  2,603.00 "
162,34,0,5170,0,0,0,A,Bergenfield borough,New Jersey,"  26,764.00 ","  26,837.00 ","  26,882.00 ","  27,101.00 ","  27,335.00 ","  27,481.00 ","  27,592.00 ","  27,687.00 ","  27,742.00 ","  27,927.00 "
162,34,0,5440,0,0,0,A,Berlin borough,New Jersey,"  7,588.00 ","  7,591.00 ","  7,632.00 ","  7,641.00 ","  7,647.00 ","  7,618.00 ","  7,602.00 ","  7,592.00 ","  7,606.00 ","  7,606.00 "
162,34,0,5590,0,0,0,A,Bernardsville borough,New Jersey,"  7,707.00 ","  7,719.00 ","  7,732.00 ","  7,751.00 ","  7,771.00 ","  7,774.00 ","  7,786.00 ","  7,790.00 ","  7,815.00 ","  7,815.00 "
162,34,0,5740,0,0,0,A,Beverly city,New Jersey,"  2,577.00 ","  2,551.00 ","  2,552.00 ","  2,550.00 ","  2,559.00 ","  2,545.00 ","  2,541.00 ","  2,527.00 ","  2,512.00 ","  2,504.00 "
162,34,0,6340,0,0,0,A,Bloomingdale borough,New Jersey,"  7,656.00 ","  7,665.00 ","  7,673.00 ","  7,726.00 ","  7,742.00 ","  7,764.00 ","  8,216.00 ","  8,227.00 ","  8,229.00 ","  8,242.00 "
162,34,0,6370,0,0,0,A,Bloomsbury borough,New Jersey,  870.00 ,  874.00 ,  874.00 ,  869.00 ,  863.00 ,  861.00 ,  858.00 ,  853.00 ,  847.00 ,  846.00 
162,34,0,6490,0,0,0,A,Bogota borough,New Jersey,"  8,187.00 ","  8,183.00 ","  8,197.00 ","  8,261.00 ","  8,278.00 ","  8,322.00 ","  8,357.00 ","  8,394.00 ","  8,536.00 ","  8,567.00 "
